isbn13,isbn10,aladin_item_id,title,author,publisher,pub_date,category_id,category_name,price_standard,price_sales,cover_url,description,active,discontinue_mode,discontinue_reason,discontinue_at,discontinue_by,reactivated_at,expected_soldout_at,source,created_at,updated_at
9791043321818,,,Alias.,김민서,(주) 조선전자,2025-12-29,101,국내도서>경제경영>경영전략,27500,23381,https://example.com/covers/9791043321818.jpg,Adipisci dolor magnam ad dicta officiis molestias.,true,NONE,,,,,,ALADIN,2026-05-01T18:01:35+09:00,2026-05-01T18:01:35+09:00
9798637940264,,,Ipsum eius.,권민지,(유) 미래나루상사,2023-12-01,103,국내도서>소설/시/희곡>한국소설,19500,16225,https://example.com/covers/9798637940264.jpg,Aut fugit facere exercitationem eaque aliquam itaque commodi ullam aspernatur eos occaecati.,true,NONE,,,,,,ALADIN,2026-05-01T18:01:35+09:00,2026-05-01T18:01:35+09:00
9799407816185,,,Neque provident aliquid dolorem enim aspernatur.,김서준,(유) 네오,2016-05-26,103,국내도서>아동>어린이,18000,15209,https://example.com/covers/9799407816185.jpg,Explicabo pariatur praesentium placeat architecto odio modi doloribus iure earum unde porro.,true,NONE,,,,,,ALADIN,2026-05-01T18:01:35+09:00,2026-05-01T18:01:35+09:00
9794131647524,,,Placeat sapiente.,김경희,유한회사 미래고구려상사,2018-10-24,103,국내도서>자기계발,20500,19306,https://example.com/covers/9794131647524.jpg,Soluta et omnis id totam itaque eaque doloribus natus ea nesciunt tempore id dolor voluptatum.,true,NONE,,,,,,ALADIN,2026-05-01T18:01:35+09:00,2026-05-01T18:01:35+09:00
9792832764830,,,Laudantium quidem.,김민지,유한회사 종합,2023-10-05,101,국내도서>인문학>철학,30500,26600,https://example.com/covers/9792832764830.jpg,Harum nisi iusto dolorum mollitia velit perspiciatis beatae.,true,NONE,,,,,,ALADIN,2026-05-01T18:01:35+09:00,2026-05-01T18:01:35+09:00
9799537672422,,,Quibusdam quisquam excepturi eos culpa a quam.,우지연,(주) 첨단,2023-05-20,106,국내도서>아동>어린이,16500,14448,https://example.com/covers/9799537672422.jpg,Sapiente magni dicta fugiat cum veritatis ullam ullam nobis laborum beatae.,true,NONE,,,,,,ALADIN,2026-05-01T18:01:35+09:00,2026-05-01T18:01:35+09:00
9792871012268,,,Soluta rerum esse animi soluta.,김예지,주식회사 글로벌출판,2022-01-18,105,국내도서>과학>자연과학,28000,24885,https://example.com/covers/9792871012268.jpg,Cumque minus non vitae ut quidem porro quae id perferendis fuga tempore iste dolorum aperiam.,true,NONE,,,,,,ALADIN,2026-05-01T18:01:35+09:00,2026-05-01T18:01:35+09:00
9791845146275,,,Nihil dolorem dolore.,강상현,(유) 고구려테크,2017-10-14,102,국내도서>아동>어린이,9000,8447,https://example.com/covers/9791845146275.jpg,Eius laborum molestiae quam sunt nemo doloribus labore illum atque.,true,NONE,,,,,,ALADIN,2026-05-01T18:01:35+09:00,2026-05-01T18:01:35+09:00
9798932528808,,,Explicabo illum sint amet officiis.,김지민,주식회사 다올뷰티,2026-02-10,101,국내도서>인문학>철학,28000,26158,https://example.com/covers/9798932528808.jpg,Ipsum in eius dolorum unde ipsam similique mollitia amet voluptatum saepe voluptas unde sed cumque.,true,NONE,,,,,,ALADIN,2026-05-01T18:01:35+09:00,2026-05-01T18:01:35+09:00
9799117182273,,,Laboriosam sint temporibus cum.,이지훈,(유) 아름하나코스메틱,2020-05-30,105,국내도서>과학>자연과학,26500,25052,https://example.com/covers/9799117182273.jpg,Deleniti dolor animi quasi aperiam et amet labore ullam.,true,NONE,,,,,,ALADIN,2026-05-01T18:01:35+09:00,2026-05-01T18:01:35+09:00
9794657871335,,,Culpa vero.,김예준,주식회사 신라,2019-09-25,105,국내도서>경제경영>경영전략,11000,9861,https://example.com/covers/9794657871335.jpg,Velit necessitatibus neque aliquam aspernatur omnis natus et ea.,true,NONE,,,,,,ALADIN,2026-05-01T18:01:35+09:00,2026-05-01T18:01:35+09:00
9790310518340,,,Dolores id perferendis.,이정훈,(주) 우리네트워크,2020-04-13,102,국내도서>자기계발,30000,28248,https://example.com/covers/9790310518340.jpg,Modi magni consequatur expedita architecto doloribus eligendi ipsa.,true,NONE,,,,,,ALADIN,2026-05-01T18:01:35+09:00,2026-05-01T18:01:35+09:00
9797631165666,,,Provident nostrum.,윤경숙,(유) 코어,2025-08-25,104,국내도서>자기계발,23500,20306,https://example.com/covers/9797631165666.jpg,Vel consequatur blanditiis autem mollitia earum non quaerat.,true,NONE,,,,,,ALADIN,2026-05-01T18:01:35+09:00,2026-05-01T18:01:35+09:00
9798726247311,,,Vitae.,이예지,(주) 첨단전자,2025-10-05,106,국내도서>아동>어린이,23000,21359,https://example.com/covers/9798726247311.jpg,Aliquid ex consectetur voluptatem cum ipsam provident natus beatae velit porro.,true,NONE,,,,,,ALADIN,2026-05-01T18:01:35+09:00,2026-05-01T18:01:35+09:00
