isbn13,store_id,base_demand,conf_low,conf_high
8800319843945,1,0.7,0.52,0.87
8800319843945,2,0.7,0.52,0.87
8800319843945,3,0.67,0.5,0.84
8800319843945,4,0.67,0.5,0.84
8800319843945,5,0.66,0.49,0.82
8800319843945,6,0.66,0.49,0.82
8800319843945,7,0.7,0.52,0.87
8800319843945,8,0.7,0.52,0.87
8800319843945,9,0.67,0.5,0.84
8800319843945,10,0.67,0.5,0.84
8800319843945,11,0.66,0.49,0.82
8800319843945,12,0.29,0.21,0.36
8800319843945,13,0.76,0.57,0.95
8800319843945,14,0.76,0.57,0.95
8800319843945,15,4.81,3.61,6.02
8800319843945,16,4.44,3.33,5.55
8800319843952,1,0.7,0.52,0.87
8800319843952,2,0.7,0.52,0.87
8800319843952,3,0.67,0.5,0.84
8800319843952,4,0.67,0.5,0.84
8800319843952,5,0.66,0.49,0.82
8800319843952,6,0.66,0.49,0.82
8800319843952,7,0.7,0.52,0.87
8800319843952,8,0.7,0.52,0.87
8800319843952,9,0.67,0.5,0.84
8800319843952,10,0.67,0.5,0.84
8800319843952,11,0.29,0.21,0.36
8800319843952,12,0.66,0.49,0.82
8800319843952,13,0.76,0.57,0.95
8800319843952,14,0.76,0.57,0.95
8800319843952,15,4.81,3.61,6.02
8800319843952,16,4.44,3.33,5.55
8809565330452,1,0.7,0.52,0.87
8809565330452,2,0.7,0.52,0.87
8809565330452,3,0.67,0.5,0.84
8809565330452,4,0.67,0.5,0.84
8809565330452,5,0.66,0.49,0.82
8809565330452,6,0.66,0.49,0.82
8809565330452,7,0.7,0.52,0.87
8809565330452,8,0.7,0.52,0.87
8809565330452,9,0.67,0.5,0.84
8809565330452,10,0.67,0.5,0.84
8809565330452,11,0.66,0.49,0.82
8809565330452,12,0.66,0.49,0.82
8809565330452,13,0.76,0.57,0.95
8809565330452,14,0.76,0.57,0.95
8809565330452,15,4.81,3.61,6.02
8809565330452,16,4.81,3.61,6.02
9771739284009,1,0.7,0.52,0.87
9771739284009,2,0.7,0.52,0.87
9771739284009,3,0.67,0.5,0.84
9771739284009,4,0.43,0.32,0.54
9771739284009,5,0.66,0.49,0.82
9771739284009,6,0.66,0.49,0.82
9771739284009,7,0.7,0.52,0.87
9771739284009,8,0.7,0.52,0.87
9771739284009,9,0.67,0.5,0.84
9771739284009,10,0.67,0.5,0.84
9771739284009,11,0.66,0.49,0.82
9771739284009,12,0.66,0.49,0.82
9771739284009,13,0.76,0.57,0.95
9771739284009,14,0.76,0.57,0.95
9771739284009,15,4.57,3.43,5.72
9771739284009,16,4.81,3.61,6.02
9771739361205,1,0.7,0.52,0.87
9771739361205,2,0.7,0.52,0.87
9771739361205,3,0.67,0.5,0.84
9771739361205,4,0.67,0.5,0.84
9771739361205,5,0.66,0.49,0.82
9771739361205,6,0.66,0.49,0.82
9771739361205,7,0.7,0.52,0.87
